event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY10042,2019-09-22,2019,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters","Civilian targeting",818,"Northern Africa",Egypt,Suez,"Al Arbaeen",,Suez,29.9737,32.5263,1,"AFP; EuroNews; Facebook","New media-International","During the night of 22 Sep. 2019, security forces fired tear gas, rubber bullets and live ammunition at 200 anti-Sisi protesters in Suez. Several protesters were wounded. .",0,"crowd size=200",1618528470,84556
EGY10634,2019-12-20,2019,2,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)","Labor Group (Egypt)",Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Sharqia,"10th of Ramadan 1",,"10th of Ramadan City",30.2964,31.7463,1,"FJ Portal",National,"On 20 December 2019, police intervened in a protest staged by employees of Oriental Weavers in 10th of Ramadan City (10 Ramadan, Sharkia), with no reported injuries or fatalities. Employees were protesting recent layoffs, low wages, and unfair treatment .",0,"crowd size=no report",1618528543,16673
EGY10657,2019-12-15,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"FJ Portal",National,"On 15 December 2019, protesters organizing under the name Ahrar Al Buhaira protested at night in Damanhur (Damanhur, Behera), chanting slogans criticizing the military for arbitrary detentions, poor human rights record, and for the deteriorating economic conditions in Egypt. .",0,"crowd size=no report",1618528545,122636
EGY10677,2020-01-21,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Health Workers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Menia,"Menia City",,Minya,28.1099,30.7503,1,"Madamasr; El Fagr News",National,"On 21 January 2020, members of the General Assembly of the Doctors' Union protested in Minya (New Minya, Menia) after a memorial service for three female doctors who had been killed in a car accident when the minibus transporting them to a medical training. Protesters denounced the Ministry of Health and called for measures to improve the work environment and decrease administrative abuse of Egyptian doctors, specifically the practice of arbitrarily sending doctors to work in other provinces without warning or extra compensation .",0,"crowd size=no report",1618528547,24137
EGY10678,2020-01-23,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Journalists (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Al Doki",,Dokki,30.0351,31.2140,1,"El Fagr News; Masr Alarabia",National,"On 23 January 2020, journalists at Saba7 Newspaper staged a sit-in at the newspaper headquarters in Dokki (Duqql, Giza), demonstrating against the suspension in wages that has been ongoing over the past six months.",0,"crowd size=no report",1764045636,25670
EGY10697,2020-02-01,2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Matrouh,"Mersa Matrouh",,"Marsa Matruh",31.3525,27.2453,3,Rassd,National,"On or before 1 February 2020, an unknown number of protesters gathered to protest against the evacuation of a hospital in Matrouh governorate .",0,"crowd size=no report",1618511504,25354
EGY10701,2020-02-02,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"FJ Portal",National,"On 2 February 2020, protesters gathered in Damanhur (Damanhur, Behera) to protest against President Trump's Israel-Palestine peace deal, as well as President Sisi and the current government. They raised Palestinian flags alongside Egyptian flags and chanted slogans denouncing the deal and the Egyptian government.",0,"crowd size=no report",1618511465,124240
EGY10734,2020-02-16,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Labor Group (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"El Fagr News; Madamasr; New Arab",National-Regional,"On 16 February 2020, dozens of employees protested at the Tanta Linen Company in Tanta (Tanta, Gharbia), calling on the company-which had been sold to a Saudi investor in 2005-to confirm their appointments.",0,"crowd size=dozens",1764637279,107528
EGY10735,2020-02-17,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Labor Group (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"El Fagr News; Madamasr; New Arab",National-Regional,"On 17 February 2020, dozens of employees staged a second day of protest at the Tanta Linen Company in Tanta (Tanta, Gharbia), calling on the company-which had been sold to a Saudi investor in 2005-to confirm their appointments .",0,"crowd size=dozens",1764637279,107528
EGY10736,2020-02-18,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Labor Group (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"El Fagr News; Madamasr; New Arab",National-Regional,"On 18 February 2020, dozens of employees staged a third day of protest at the Tanta Linen Company in Tanta (Tanta, Gharbia), calling on the company-which had been sold to a Saudi investor in 2005-to confirm their appointments .",0,"crowd size=dozens",1764637279,107528
