event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY2776,2013-07-02,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Muslim Brotherhood",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Kafr el-Sheikh","Kafr Al Sheikh City",,"Kafr ash Shaykh",31.1143,30.9401,1,"Egypt Independent",National,"In Kafr al-Sheikh, Nile Delta governorate, hundreds of Muslim Brotherhood members gathered carrying sticks, marching through the streets",0,,1618528752,
EGY2748,2013-07-01,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Fayoum,"Fayoum City",,"Al Fayyum",29.3099,30.8418,1,"Egypt Independent",National,"In al-Massala Sqaure, dozens of opponents protested outside the FJP headquarters",0,,1618528749,
EGY2749,2013-07-01,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Muslim Brotherhood",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,Kerdasa,,Kirdasah,30.0310,31.1111,1,"Egypt Independent",National,"Dozens of members of the Muslim Brotherhood besieged the Kerdasa police stationin Giza, expressing anger at thepolice for joining the anti-Morsy protesters and for failing to establish security",0,,1618528749,
EGY2665,2013-06-19,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Menoufia,"Shebeen Al Kom City",,"Shibin al Kawm",30.5526,31.0090,1,"Egypt Independent",National,"Protesters continued their sit-in for a third day outside Monufiyas local governorate office on Wednesday, demonstrating against the appointment of Muslim Brotherhood member Ahmed Sharawy as the new governor",0,,1618528740,
EGY2659,2013-06-18,2013,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,,,,"Rioters only",,818,"Northern Africa",Egypt,Gharbia,"Greater Mahala 1",,"Al Mahallah al Kubra",30.9761,31.1669,1,"Egypt Independent",National,"In a separate incident, Kafr al-Sheikh Governor and Muslim Brotherhood leader Saad al-Husseiny accused members of the Tamarod campaign of setting his car on fire and assaulting his home in Mahalla",0,,1618528739,
EGY2645,2013-06-17,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"Egypt Independent",National,"In Tanta in Gharbiya, hundreds blocked the seaside road to protest the appointment of Brotherhood leader Ahmed al-Bialy as governor.",0,,1618528737,
EGY2643,2013-06-17,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,2,"Egypt Independent",National,"Opposition forces in Beheira protested to reject their new governor",0,,1618528737,
EGY2644,2013-06-17,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Ismailia,"Ismailia 2",,Ismailia,30.6043,32.2723,1,"Egypt Independent",National,"In Ismailia, activists also staged mass protests outside the governorate building to express their anger at perceived Brotherhood affiliate, Hassan al-Hawy, taking the position of governor.",0,,1618528737,
EGY2633,2013-06-16,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","April 6 Youth Movement",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Menoufia,"Shebeen Al Kom City",,"Shibin al Kawm",30.5526,31.0090,1,"Egypt Independent",National,"In Monufiya, dozens of activists demonstrated outside the governorate building in Shebin al-Kom, hours after the news that Ahmed Shaarawy, a Brotherhood leader, would become governor.",0,,1618528736,
EGY2616,2013-06-14,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Muslim Brotherhood",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,"Egypt Independent",National,"Muslim Brotherhood members expressed their admiration and support for President Mohammed Morsy during protests at Amr Ebn al-Aas Mosque in Giza",0,,1618528734,
